customer_id,signup_date,location
1,2024-02-01,Delhi
2,2023-05-11,Delhi
3,2024-02-05,Ahmedabad
4,2024-01-01,Pune
5,2023-11-11,Chennai
6,2021-05-02,Ahmedabad
7,2022-04-12,Pune
8,2021-11-27,Ahmedabad
9,2021-03-29,Ahmedabad
10,2024-01-29,Ahmedabad
11,2023-05-22,Chennai
12,2021-05-11,Bangalore
13,2023-02-09,Ahmedabad
14,2021-12-10,Ahmedabad
15,2023-03-17,Mumbai
16,2022-01-21,Chennai
17,2023-08-14,Kolkata
18,2021-10-04,Bangalore
19,2024-03-30,Bangalore
20,2022-04-05,Pune
21,2021-01-22,Chennai
22,2021-09-10,Ahmedabad
23,2023-01-18,Ahmedabad
24,2023-05-07,Ahmedabad
25,2022-04-20,Kolkata
26,2023-12-19,Kolkata
27,2022-05-26,Delhi
28,2022-12-01,Ahmedabad
29,2023-09-03,Kolkata
30,2021-07-09,Delhi
31,2023-08-16,Kolkata
32,2022-11-18,Pune
33,2023-08-16,Kolkata
34,2022-07-17,Kolkata
35,2023-04-12,Delhi
36,2024-02-29,Chennai
37,2022-10-09,Ahmedabad
38,2021-01-21,Mumbai
39,2023-04-21,Hyderabad
40,2021-06-16,Chennai
41,2022-01-23,Delhi
42,2022-08-24,Delhi
43,2021-11-12,Bangalore
44,2021-01-14,Chennai
45,2021-08-30,Pune
46,2023-02-16,Chennai
47,2022-07-19,Delhi
48,2023-06-17,Kolkata
49,2021-04-02,Chennai
50,2023-08-14,Pune
51,2022-05-24,Bangalore
52,2023-02-15,Kolkata
53,2021-02-04,Mumbai
54,2021-07-25,Ahmedabad
55,2024-01-10,Hyderabad
56,2023-10-23,Kolkata
57,2023-10-19,Chennai
58,2022-07-20,Mumbai
59,2024-02-04,Kolkata
60,2022-12-04,Hyderabad
61,2022-02-06,Mumbai
62,2022-12-31,Ahmedabad
63,2021-06-11,Kolkata
64,2021-07-21,Chennai
65,2023-09-23,Hyderabad
66,2021-09-27,Mumbai
67,2023-03-27,Kolkata
68,2022-04-01,Kolkata
69,2023-10-14,Pune
70,2021-10-23,Hyderabad
71,2022-12-21,Pune
72,2021-12-04,Kolkata
73,2023-05-29,Bangalore
74,2023-12-13,Chennai
75,2023-03-03,Delhi
76,2021-08-05,Bangalore
77,2023-02-03,Bangalore
78,2021-07-07,Hyderabad
79,2022-01-15,Ahmedabad
80,2022-05-08,Hyderabad
81,2023-12-01,Bangalore
82,2024-03-26,Mumbai
83,2021-01-15,Delhi
84,2021-03-06,Chennai
85,2022-06-05,Pune
86,2024-02-27,Pune
87,2022-10-10,Kolkata
88,2023-12-23,Ahmedabad
89,2024-03-08,Mumbai
90,2022-08-16,Ahmedabad
91,2022-01-27,Delhi
92,2022-02-23,Mumbai
93,2021-10-16,Ahmedabad
94,2022-01-14,Ahmedabad
95,2021-08-19,Pune
96,2023-10-15,Mumbai
97,2021-02-10,Hyderabad
98,2023-11-18,Pune
99,2021-05-15,Ahmedabad
100,2021-07-20,Ahmedabad
101,2023-02-19,Hyderabad
102,2023-07-19,Chennai
103,2023-11-23,Chennai
104,2023-12-08,Kolkata
105,2022-05-18,Chennai
106,2022-02-11,Delhi
107,2023-03-16,Hyderabad
